source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence,in_core_schema
AMAG Technology,Company,COMMITTED_TO,GSA FICAM Approval,Technology,r00664::c0000,2022-11-30 07:31:00,AMAG Technology and Identity One Announce GSA FICAM Approval.,1.0,False
Loris Degioanni,Person,LEADS,Sysdig,Company,r00678::c0000,2023-01-26 17:36:00,Loris Degioanni CTO and Founder of Sysdig will deliver a CloudNativeSecurityCon keynote,1.0,True
Reliance Jio,Company,PLANNED_RELEASE,Jio Smart Home Services,Product,r00688::c0000,2023-08-28 11:25:00,Reliance Jio plans to ...,0.5,False
JPMorgan Asset Management,Organization,USES,Vestwell's technology,Technology,r00693::c0000,2023-05-12 17:08:00,JPMorgan Asset Management will be using Vestwell's technology to run its Everyday 401(k) program for small businesses the companies announced on Thursday.,1.0,True
Wultra,Company,PARTNERED_WITH,iProov,Company,r00750::c0000,2023-05-10 09:36:00,Wultra and iProov Partner to Bring Biometric Technology to Banks and Financial Services Technology Providers.,1.0,True
Wultra,Company,ENABLES,iProov technology,Technology,r00750::c0000,2023-05-10 09:36:00,who actively encouraged us to add iProov technology to our stack.,1.0,False
Rom Kosla,Person,WORKED_AT,Retail Business Services (RBS),Organization,r00755::c0000,2023-01-27 18:55:00,I recently spoke with Rom Kosla Executive Vice President of Information Technology and Chief Information Officer for Retail Business Services (RBS) to gain Rom Kosla's perspective.,1.0,True
ILUS,Company,FOUNDED,Hyperion Defense Solutions,Company,r00760::c0000,2023-02-13 20:29:00,ILUS co-founded Hyperion Defense Solutions (Hyperion) alongside two experienced and esteemed British military veterans Chris Derbyshire and Tim Grey.,1.0,True
Chris Derbyshire,Person,WORKED_AT,Hyperion Defense Solutions,Company,r00760::c0000,2023-02-13 20:29:00,ILUS co-founded Hyperion Defense Solutions (Hyperion) alongside two experienced and esteemed British military veterans Chris Derbyshire and Tim Grey.,1.0,True
Tim Grey,Person,WORKED_AT,Hyperion Defense Solutions,Company,r00760::c0000,2023-02-13 20:29:00,ILUS co-founded Hyperion Defense Solutions (Hyperion) alongside two experienced and esteemed British military veterans Chris Derbyshire and Tim Grey.,1.0,True
Truescope,Company,ACQUIRED,Universal Information Services,Company,r00765::c0000,2023-02-01 11:23:00,Australian media intelligence company Truescope has strengthened its position in North America by acquiring leading agency Universal Information Services (UIS ...,1.0,True
Apogee,Company,ACQUIRED,Cumulus Technology Services Inc,Company,r00770::c0000,2023-01-07 14:27:00,Apogee Acquires Cumulus Technology Services Inc. to Enhance Managed Technology Services Leadership Position in Higher Education.,1.0,True
Joseph Akossey,Person,CITED_SOURCE,Proven Trusted Solutions,Organization,r00783::c0000,2023-07-04 06:30:00,The Executive Director of Proven Trusted Solutions Joseph Akossey has said prioritising the needs of customers and deployment of technological innovations within the financial services sector can help industry players gain competitive edge.,1.0,False
Athersys,Company,DEVELOPED,MultiStem(R),Product,r00788::c0000,2023-02-28 17:15:00,Athersys ... developing MultiStem(R) (invimestrocel) for critical care indications,1.0,True
Athersys,Company,LAUNCHED,SIFU(R) Technology,Technology,r00788::c0000,2023-02-28 17:15:00,Athersys Expands IP Protection with First New Patent for SIFU(R) Technology.,1.0,False
Team D3,Organization,PARTNERED_WITH,Microdesk,Organization,r00793::c0000,2023-06-02 13:36:00,Team D3 Joins Forces with Microdesk,1.0,True
Team D3,Organization,PARTNERED_WITH,Symetri,Organization,r00793::c0000,2023-06-02 13:36:00,Team D3 Joins Forces with ... Symetri,1.0,True
Biz Technology Solutions,Company,PARTNERED_WITH,New Charter Technologies,Company,r00823::c0000,2023-04-24 20:42:00,the recent partnership between Biz Technology Solutions (News - Alert) (BTS) and New Charter Technologies.,1.0,True
L&T Technology Services Limited,Company,SELECTED_WITH,Qualcomm,Company,r00891::c0000,2023-02-23 12:45:00,L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways.,1.0,False
L&T Technology Services Limited,Company,PARTNERED_WITH,Thales,Company,r00891::c0000,2023-02-23 12:45:00,L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways.,1.0,True
EY Nigeria,Organization,SELECTED_WITH,Williams,Person,r00895::c0000,2023-07-17 09:44:00,The partners are Williams,0.5,False
RGB Spectrum,Company,WORKED_AT,ISC West 2023,Technology,r00900::c0000,2023-03-30 02:23:00,RGB Spectrum working to expand its solutions base at ISC West 2023.,0.5,True
Saison Information Systems,Company,COMMITTED_TO,nonprofits,Organization,r00934::c0000,2023-08-22 08:00:00,"Saison Information Systems Co. Ltd. (TYO:9640 hereafter '""Saison Information Systems'"")) is proud to announce that it donated 1% of its operating income to several nonprofits that are aligned with its",0.8,False
General Services Administration,Organization,LEADS,Technology Transformation Services,Technology,r00940::c0000,2023-04-12 18:40:00,The General Services Administration (GSA) has appointed a new deputy director of the agency’s Technology Transformation Services division.,0.9,True
Mukunda Penugonde,Person,WORKED_AT,Technology Transformation Services,Technology,r00940::c0000,2023-04-12 18:40:00,Mukunda Penugonde joined TTS in the role on April 10 joining from the private ...,0.7,True
AXIS Capital Holdings Limited,Company,LEADS,Andy Maher,Person,r00951::c0000,2022-12-09 14:15:00,"AXIS Capital Holdings Limited ('""AXIS'"" or the “Company”) (NYSE: AXS) announced today that Andy Maher has been appointed Head of Cyber and Technology ...",1.0,True
Signzy,Company,PARTNERED_WITH,Trust Your Supplier,Company,r00984::c0000,2023-10-17 16:29:00,Trust Your Supplier Signzy partner to revolutionize AI-powered digital onboarding identity verification.,1.0,True
Trust Your Supplier,Company,PROVIDES_ACCESS_TO,AI-powered digital onboarding identity verification,Technology,r00984::c0000,2023-10-17 16:29:00,Trust Your Supplier’s ability to provide cutting-edge digital transformation to Trust Your Supplier’s customers.,1.0,False
Syndio,Company,LISTED_WITH,London Stock Exchange Marketplace,Organization,r00989::c0000,2023-03-07 23:59:00,Syndio joins London Stock Exchange Marketplace.,1.0,False
Syndio,Company,OFFERS,PayEQ,Product,r00989::c0000,2023-03-07 23:59:00,Through its landmark PayEQ and a suite of products and services Syndio provides technology and expert guidance to help companies measure achieve and sustain all facets of workplace equity ...,1.0,False
BharOS,Product,DEVELOPED,Private App Store Services,Technology,r00994::c0000,2023-02-07 11:00:00,BharOS’s Private App Store Services or ‘PASS’ only allows trusted apps,0.9,True
Information Services Group Inc,Company,LISTED_WITH,NASDAQ:III,Technology,r01004::c0000,2023-01-03 09:24:00,Information Services Group Inc. (NASDAQ:III) is a favorite amongst institutional investors,0.9,False
Youi Holdings Limited,Company,LAUNCHED,Nathaniel Simpson,Person,r01195::c0000,2023-03-01 01:33:00,Insurance company Youi Holdings Limited (Youi) has announced a new CEO.,0.9,False
Trulioo Information Services Inc,Company,PARTNERED_WITH,Beedie Luminaries,Organization,r01235::c0000,2022-12-21 15:54:00,Trulioo a leading global digital identity verification platform is partnering with Beedie Luminaries to support post-secondary students within the program who are pursuing their studies in science technology ...,1.0,True
TRG,Company,FOUNDED,TruWest Holdings,Organization,r01351::c0000,2023-04-06 18:00:00,U.K. acquisition supports TRG's international growth strategy.,0.5,True
Cortex Copilot,Product,DEVELOPED,Syxsense,Company,r01356::c0000,2023-08-09 11:36:00,Syxsense Announces AI-Powered Cortex Copilot Bringing Natural Language Processing to Endpoint Management and Security Automation.,0.8,True
FreeStyle Libre 2,Product,INTEGRATES_WITH,Apple Pay,Technology,r01366::c0000,2022-12-16 12:06:00,The technology is the same used with Apple Pay or Google Pay.,0.6,False
FreeStyle Libre 2,Product,INTEGRATES_WITH,Google Pay,Technology,r01366::c0000,2022-12-16 12:06:00,The technology is the same used with Apple Pay or Google Pay.,0.6,False
Complete Solaria,Company,COMMITTED_TO,Freedom Acquisition I Corp,Company,r01371::c0000,2023-07-18 00:21:00,Complete Solaria a Leading Solar Technology Services and Installation Company Completes Business Combination with Freedom Acquisition I Corp.,1.0,False
Jungheinrich AG,Company,ACQUIRED,Storage Solutions group,Company,r01387::c0000,2023-01-25 13:10:00,Jungheinrich AG to acquire Indiana-based Storage Solutions group.,1.0,True
Tyemill,Company,ACQUIRED,Syntax,Company,r01397::c0000,2023-04-19 20:42:00,"Seattle-based research software company Tyemill has been acquired by Syntax, an investment analytics company headquartered in New York City.",1.0,True
Synopsys ZeBu Server 5 Emulation System,Product,LAUNCHED,Industry's First Emulation System,Technology,r01424::c0000,2023-04-13 16:30:00,Synopsys Introduces the Industry's First Emulation System with Unmatched Capacity to Enable Electronics Digital Twins of Advanced SoCs.,0.9,False
Intetics,Company,LAUNCHED,AI integrated virtual try-on solution,Product,r01430::c0000,2023-08-29 08:35:00,Intetics a leading American technology company introduces AI integrated virtual try-on solution to enhance online shopping engagement and boost sales for enterprises in retail.,0.9,False
ServiceNow,Company,DEVELOPED,Case Summarization,Technology,r01435::c0000,2023-07-26 20:30:00,ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value.,1.0,True
ServiceNow,Company,DEVELOPED,Text-to-Code,Technology,r01435::c0000,2023-07-26 20:30:00,ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value.,1.0,True
ServiceNow,Company,BENEFITED_FROM_DEMAND,generative AI capabilities,Technology,r01435::c0000,2023-07-26 20:30:00,ServiceNow has already seen significant productivity improvements for customers using early access versions of its previously announced generative AI capabilities,1.0,False
Department of Homeland Security,Organization,COMMITTED_TO,Customer Experience,Technology,r01440::c0000,2023-06-02 02:36:00,DHS Improves Customer Experience by Simplifying Services from Cargo Shipments to TWIC Program.,1.0,False
Information Services Group Inc,Company,LISTED_WITH,NASDAQ:III,Organization,r01461::c0000,2023-08-22 16:32:00,Information Services Group (NASDAQ:III),1.0,False
ServiceNow Inc,Company,LEADS,Buy recommendation,Product,r01466::c0000,2023-10-18 19:06:00,Kash Rangan an analyst from Goldman Sachs reiterated the Buy rating on ServiceNow,0.7,True
Jim Raymond Kroes Ph.D,Person,WORKED_AT,Boise State University,Organization,r01482::c0000,2023-04-05 17:24:00,James Kroes is a Professor in the Information Technology and Supply Chain Management department and the Ada Burke Fellow at Boise State University’s College of Business and Economics.,1.0,True
Options' Integrated Cloud solutions,Product,PROVIDES_ACCESS_TO,Tools for Humanity,Organization,r01492::c0000,2023-10-04 11:29:00,Options'' Integrated Cloud solutions provided Tools for Humanity with a highly scalable and customizable Cloud environment,1.0,False
Warren Dehan,Person,WORKED_AT,Maestro Property Management System,Product,r01497::c0000,2023-01-05 20:31:00,Warren Dehan has 44 years of experience as the President of Maestro Property Management System,1.0,True
Asda,Company,CONSIDERING,EG Group,Company,r01517::c0000,2023-04-14 15:13:00,Asda plans to generate more than £100 million ($125 million) of synergies from a proposed deal to merge its grocery operations with EG Group’s UK and Ireland gas station and convenience arm according to an internal document.,0.7,False
TotalEnergies,Company,PARTNERED_WITH,Unabiz,Company,r01528::c0000,2023-09-20 11:54:00,TotalEnergies has appointed Unabiz to install Sigfox-based IoT sensors in motorway service stations in Europe and Africa to monitor fridge units.,0.8,True
Evolve Information Solutions,Company,PARTNERED_WITH,Priority Software,Company,r01538::c0000,2023-09-25 14:34:00,Evolve Information Solutions Announces New Reseller Agreement with Priority Software.,1.0,True
Kearney,Organization,COMMITTED_TO,Supply Chain Institute,Organization,r01669::c0000,2023-04-11 16:03:00,Kearney unites research efforts under Supply Chain Institute.,1.0,False
Kearney,Organization,WORKED_AT,Amazon Web Services,Organization,r01669::c0000,2023-04-11 16:03:00,A Kearney study conducted in collaboration with Amazon Web Services found that 56% of COOs surveyed ...,1.0,True
Unified Group,Organization,CITED_SOURCE,Service Unlimited Inc,Company,r01674::c0000,2022-12-07 16:29:00,The Unified Group Announces Service Unlimited Inc. as Recipient of 2022 Making the Difference Award.,1.0,False
Information Services Group,Organization,CITED_SOURCE,ISG,Organization,r01717::c0000,2023-09-05 14:10:00,according to a new report from Information Services Group ( ISG),1.0,False
ServiceNow,Company,LAUNCHED,Generative AI Solution,Product,r01742::c0000,2023-06-13 13:50:00,ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service.,0.9,False
Now Assist for Virtual Agent,Product,POWERS,ServiceNow Generative AI Controller,Technology,r01742::c0000,2023-06-13 13:50:00,Now Assist for Virtual Agent is powered by ServiceNow Generative AI Controller.,0.9,False
DWF Labs,Company,INVESTED_IN,SENSO,Product,r01753::c0000,2023-04-06 14:34:00,DWF Labs Backs The Development of Sensorium’s Web3 Platform With SENSO Token Purchase.,0.9,True
Sensorium,Company,LAUNCHED,Sensorium Galaxy,Product,r01753::c0000,2023-04-06 14:34:00,Sensorium the company behind the world’s first AI-driven metaverse Sensorium Galaxy announced today that Sensorium has secured a seven-figure purchase of SENSO tokens from DWF Labs.,0.9,False
Boxed,Company,LAUNCHED,Spresso,Product,r01778::c0000,2023-01-10 12:36:00,Boxed Launches Spresso SaaS Solutions on Google Cloud Marketplace,0.9,False
Spresso,Product,PROVIDES_ACCESS_TO,Google Cloud Marketplace,Technology,r01778::c0000,2023-01-10 12:36:00,Spresso SaaS Solutions on Google Cloud Marketplace to Provide Data-Driven,0.8,False
Dell Technologies Inc,Company,INTEGRATES_WITH,Microsoft Azure,Technology,r01808::c0000,2023-05-26 14:56:00,The new Apex Cloud Platforms integrates services from Microsoft Azure,1.0,False
JPMorgan Asset Management,Company,USES,Vestwell's technology,Technology,r01809::c0000,2023-05-12 17:08:00,JPMorgan Asset Management will be using Vestwell's technology to run its Everyday 401(k),1.0,True
Navajo Technical University,Organization,LAUNCHED,PhD,Product,r01816::c0000,2023-03-25 11:47:00,Navajo Technical University has launched its first accredited doctoral program that will be dedicated to sustaining Diné culture and language,1.0,False
L&T Technology (LTTS),Company,BENEFITED_FROM_DEMAND,ER&D Services,Technology,r01860::c0000,2023-04-27 00:00:00,We continue to view LTTS as a beneficiary of the growing penetration of ER&D Services.,0.8,False
Rebellion,Company,FOUNDED,2019,Technology,r01907::c0000,2022-12-14 11:30:00,Founded in 2019 Rebellion wants to create AI-powered software for the military,0.9,True
K2 Services,Company,PARTNERED_WITH,ServiceNow,Company,r01912::c0000,2023-08-30 14:10:00,K2 Services and ServiceNow partner to advance digital transformation for the legal industry.,0.9,True
Integrated Electrical Services Inc,Company,LISTED_WITH,HOUSTON,Organization,r01918::c0000,2023-08-04 17:55:00,HOUSTON (AP) — Integrated Electrical Services Inc. (IESC) on Friday reported profit of $16.6 million in its fiscal third quarter.,0.5,False
5G,Technology,POWERS,US$1.8 Billion Market,Technology,r01946::c0000,2022-12-16 11:13:00,Low-loss Materials' US$1.8 Billion Market Powered by mmWave 5G,0.8,False
Cathie Wood,Person,LEADS,10 Tech Stocks To Sell Now,Product,r01952::c0000,2023-02-14 20:22:00,10 Tech Stocks To Sell Now According to Cathie Wood,0.9,True
Dr. James Ballard,Person,WORKED_AT,Oregon,Organization,r01971::c0000,2023-02-09 19:06:00,said Dr. James Ballard* an Oregon ...,0.6,True
UPS Healthcare,Company,LAUNCHED,UPS Pickup Point locations,Product,r02040::c0000,2023-10-13 05:39:00,UPS Healthcare has announced the launch of UPS Pickup Point locations ...,0.9,False
Fidelity National Information Services (FIS),Company,LISTED_WITH,$53.12,Product,r02046::c0000,2023-10-12 07:33:00,Fidelity National Information Services (FIS) ended the recent trading session at $53.12 ...,0.8,False
Sojern,Company,PARTNERED_WITH,PUSHTech™,Company,r02072::c0000,2023-01-11 09:45:00,Sojern & PUSHTech™ Collaborate to Better Support Partners' First-Party Data Strategies.,0.9,True
Brightcove,Company,LAUNCHED,Brightcove Ad Monetization,Product,r02086::c0000,2023-03-10 18:45:00,Brightcove has announced the launch of Brightcove Ad Monetization a new service designed for media companies to better monetize their content.,0.9,False
urbit,Technology,CONSIDERING,internet,Technology,r02228::c0000,2023-08-25 15:10:49,the hope for tech experts across the globe is for urbit to grow strong enough to one day replace the internet,0.5,False
Advanced Project,Organization,LAUNCHED,TIER service,Product,r02290::c0000,2023-08-18 11:45:00,Advanced Project announces upgrade to TIER service with facial recognition AI technology.,1.0,False
TIER service,Product,ENABLES,facial recognition AI technology,Technology,r02290::c0000,2023-08-18 11:45:00,Advanced Project announces upgrade to TIER service with facial recognition AI technology.,1.0,False
Alibaba Cloud,Company,LAUNCHED,International Product Innovation Center,Product,r02305::c0000,2023-02-02 13:34:00,Alibaba Cloud Unveils Its First International Product Innovation Center and Partner Management Center.,1.0,False
Alibaba Cloud,Company,LAUNCHED,Partner Management Center,Product,r02305::c0000,2023-02-02 13:34:00,Alibaba Cloud Unveils Its First International Product Innovation Center and Partner Management Center.,1.0,False
Wang Yu,Person,WORKED_AT,hospital,Organization,r02313::c0000,2022-12-06 11:43:00,"'""Smart medicine consists of smart technology smart service and smart management'"" said Wang Yu president of the hospital.",1.0,True
Apple Inc,Company,CITED_SOURCE,Caltech,Organization,r02325::c0000,2023-06-26 13:49:00,Apple Inc and Broadcom Inc to revive their challenges to Caltech data-transmission patents,0.9,False
Broadcom Inc,Company,CITED_SOURCE,Caltech,Organization,r02325::c0000,2023-06-26 13:49:00,Apple Inc and Broadcom Inc to revive their challenges to Caltech data-transmission patents,0.9,False
UK’s largest homeless charity,Organization,BENEFITED_FROM_DEMAND,Office 365 Teams,Product,r02333::c0000,2022-12-20 11:21:00,thanks to use of free provision of Office 365 Teams secure endpoints,0.8,False
Apple,Company,LISTED_WITH,NASDAQ: AAPL,Product,r02345::c0000,2023-01-11 12:05:00,Apple (NASDAQ: AAPL),0.9,False
Meta Platforms,Company,LISTED_WITH,NASDAQ: META,Product,r02345::c0000,2023-01-11 12:05:00,Meta Platforms (NASDAQ: META),0.9,False
OpenAI,Company,PLANNED_MARKETPLACE,AI software,Technology,r02449::c0000,2023-06-20 14:28:00,OpenAI plans to launch a marketplace that will allow developers to sell their AI models built on top of OpenAI's own AI technology,0.7,False
CSI,Company,LAUNCHED,Call Center,Product,r02454::c0000,2023-05-16 12:01:00,CSI a leading provider of end-to-end fintech and regtech solutions announced today the launch of its new Call Center,0.9,False
Quest Technology Management,Company,ACQUIRED,Lanlogic,Company,r02493::c0000,2023-02-23 13:06:00,Quest Technology Management Acquires Lanlogic Expanding Their Technical Program Management Service Offerings.,1.0,True
Amazon,Company,LAUNCHED,AI tools,Technology,r02532::c0000,2023-07-26 20:19:00,Amazon also announced new AI tools on Wednesday including a program for building more conversational customer-service agents,0.9,False
Amazon,Company,PARTNERED_WITH,Cohere,Company,r02532::c0000,2023-07-26 20:19:00,technology access from the startup Cohere,0.8,True
Amazon,Company,LAUNCHED,AI tools,Technology,r02537::c0000,2023-07-27 05:38:00,Amazon also announced new AI tools on Wednesday including a program for building more conversational customer-service agents technology access from the startup Cohere and a healthcare system for generating clinical notes after a patient visit.,0.9,False
Amazon,Company,PARTNERED_WITH,Cohere,Company,r02537::c0000,2023-07-27 05:38:00,technology access from the startup Cohere,0.8,True
Clippn,Company,LAUNCHED,Video Workflow Management Service,Product,r02571::c0000,2022-12-14 19:25:00,Clippn has launched a new custom Video Workflow Management Service.,0.9,False
Deloitte,Company,LAUNCHED,Jordan Digital Center,Product,r02814::c0000,2023-01-17 09:15:00,Deloitte launches Jordan Digital Center to provide Middle East clients professional digital and technology services.,1.0,False
First Citizens Bank,Company,ACQUIRED,Silicon Valley Bank,Company,r02846::c0000,2023-03-27 11:53:00,Raleigh’s First Citizens Bank will buy Silicon Valley Bank.,1.0,True
Silicon Valley Bank,Company,LISTED_WITH,First Citizens Bank,Company,r02846::c0000,2023-03-27 11:53:00,Under the agreement all Silicon Valley depositors will automatically transfer to First Citizens,0.8,False
CloudNine,Company,PARTNERED_WITH,Integreon,Company,r02857::c0000,2023-03-16 19:01:00,CloudNine and Integreon announced a partnership today to provide a better way to manage modern data in eDiscovery.,1.0,True
Fidelity National Information Services Inc,Company,LISTED_WITH,NYSE:FIS,Product,r02864::c0000,2023-07-16 17:51:00,Fidelity National Information Services Inc. (NYSE:FIS) is a favorite amongst the big guns.,1.0,False
Amazon Web Services,Company,CONSIDERING,AMD's new AI chips,Technology,r02905::c0000,2023-06-14 08:47:00,Amazon Web Services the world's largest cloud computing provider is considering using new artificial intelligence chips from Advanced Micro Devices Inc,0.7,False
Salata Salad Kitchen,Company,COMMITTED_TO,Briton Smetzer,Person,r02911::c0000,2022-12-14 13:40:00,Salata Salad Kitchen Announces Briton Smetzer as Vice President of Information Technology.,0.9,False
Briton Smetzer,Person,WORKED_AT,NCR,Company,r02911::c0000,2022-12-14 13:40:00,Smetzer who most recently served as Director of ATM Management & Software Deployment at NCR,0.9,True
Jakub Žalio,Person,WORKED_AT,Übank,Company,r03110::c0000,2023-02-23 12:58:00,"Žalio joins from Übank, the leading digital bank in ...",1.0,True
